type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,n_from,n_to
3,2772.946464,2.122,4,0.268226426,12,4.321089555,-0.071092904,1.055917991,1.818199228,-2.602576378,-23.9728842,88.48765723,49.57157575,-292.8224011,1875.888907,743.7775205,0,153.9508491,2486.308852,7211.009181,-3649.025068,-53.04886368,907.723961,1779.81651,-2431.192663,1344.773165,2213.552098,7609.819391,0,2038.382983,26727.73591,69683.3544,-38356.62231,18103.52049,295469.7873,638651.8778,-577753.8865,0.109,57,71
3,1200.745618,1.763,7,0.893571062,11,12.08534823,0.086543134,0.25082301,0.741390623,-0.061706707,-24.06570371,89.1687062,47.17940334,-289.661399,1742.292113,1072.951537,3,864.0375521,1559.716037,3761.46789,-137.6146788,-71.68108849,188.6104423,72,-584,956.8421847,1507.206203,3761.46789,0,170.1850257,13288.29175,31900.11596,-22129.32173,1001.54151,154541.6227,292661.6146,-268728.0015,0.218,72,84
3,993.5051114,2.512,2,0.760245595,15,17.38337324,0.012931795,0.33697367,0.785398163,-0.84046407,-13.46037231,53.96394685,15.59879134,-203.4443936,710.2560574,755.3078842,0,7.895772312,562.0557917,1680.851064,-718.0851071,469.4934059,695.1689463,1893.617021,-32.25806448,599.9602692,799.8605819,2532.004289,0,553.6892951,10302.50205,26926.47381,-11981.7052,210.5475658,158243.0272,286887.3573,-356955.7708,0.188,85,101
3,627.1275832,2.714,6,0.19296955,10,-4.799091338,0.755057218,2.204949003,6.25502374,-0.197939152,2.542293563,18.88747651,50.04018992,-26.42690517,310.6517819,121.0165278,0,36.75838304,804.5106955,1247.70642,-1302.752294,-84.02557173,133.1694537,0,-431.1926598,544.4371667,559.4382281,1320.113033,0,587.7301877,7559.655995,11973.50983,-10362.15243,-7966.7035,96695.67568,113245.7871,-153667.1018,0.109,102,113
3,336.7808586,1.529,4,0.963881078,12,-20.01058068,-0.048038885,0.116976509,0.274463938,-0.523598776,22.22205182,84.96349786,281.9842099,-55.66814324,159.3510145,324.616697,1,-236.6189615,318.6777063,0,-1045.87156,-100.8085838,146.6887369,0,-382.978723,266.2201558,342.7713581,1079.181452,0,524.3839441,4188.261186,6255.346926,-6734.063555,5490.517903,65159.8083,128845.4842,-96287.55375,0.483,114,127
3,713.1011662,17.566,0,0.115408924,33,0.229973607,-0.029372459,0.150745336,0.346770959,-0.785398163,-8.300135876,32.60554797,20.17485446,-157.0796327,152.0931709,82.29823813,3,52.89113338,275.576407,1100,-725.8064528,-34.19467577,341.4819574,1169.354841,-1300,219.8294104,381.3419366,1702.938637,0,4739.719358,30529.13917,170293.8637,-16141.85355,476484.8848,3031776.698,17029466.27,-1451957.229,9.142,130,164
3,350.9183491,2.216,7,0.811649641,12,-9.009819276,-0.002750131,0.039482001,0.056310724,-0.067482266,5.722305272,23.47009939,78.53981634,-9.246789661,107.8916617,284.8227519,1,156.5148618,464.5146312,1605.504589,-209.6774192,-121.8035229,180.3980645,0,-633.0275235,241.7684641,475.1022356,1725.79513,0,-225.1989468,7495.651997,15814.61586,-17291.84709,-8064.169582,131224.8283,157507.0811,-352196.4141,1.108,165,178
3,413.3889866,1.419,5,0.106024145,12,-0.097785782,-0.00041449,0.103929992,0.285387601,-0.286878744,-6.722308916,32.48937427,27.72352275,-98.27937232,465.2376381,43.829214,0,40.86267901,317.0859506,495.4128445,-733.9901478,13.06251325,224.0706032,284.4036697,-566.5024631,245.6767421,285.6485013,927.1820629,0,2.150637749,2730.451182,4391.466883,-3792.983206,-105.2344379,36870.159,54537.0704,-71580.34254,0.218,179,192
3,5545.387596,5.663,7,0.271313851,31,-21.61283381,0.219556248,0.981124826,4.570491926,-0.352308425,7.048751274,60.69893049,267.2480618,-157.0796327,1817.270502,1504.540461,2,451.9496258,2399.944683,7191.489354,-6480,25.34596253,957.7506433,3516.129028,-2706.422021,1389.999364,2198.78988,7191.772617,0,1228.235986,25115.51379,59779.15904,-57247.96423,-117924.6999,820173.657,587088.338,-4007497.658,0.109,193,225
3,2371.520726,2.028,2,0.212809892,13,6.61464933,0.004948598,0.081319892,0.236732092,-0.097772875,-1.192063718,10.21500391,24.82183538,-13.90465241,529.050837,504.6830689,2,-99.62135593,2714.29903,7099.999994,-4954.545464,339.8454921,983.635122,2990.909096,-1163.636363,1566.457591,2370.342928,7194.723726,0,113.278218,27108.36379,65152.91945,-50340.56493,-765.6214575,418115.5785,594682.7372,-757080.7802,0.219,226,240
3,258.0622004,0.624,6,0.998060323,6,-6.181024366,-0.037198543,0.063393029,0.062177497,-0.202076873,22.26975606,65.80574388,157.0796327,-20.89738759,275.4214453,257.5616431,1,-15.92979367,160.6764097,202.12766,-300,-803.3850617,1176.546232,0,-2400,807.9512848,1183.271903,2418.677324,0,503.2859335,17992.04754,25269.33726,-25504.26307,-457440.3097,999252.4622,268427.0209,-2255517.914,0.54,246,253
3,410.5056554,1.965,5,0.974018172,12,-15.33127529,-0.032436891,0.117278027,0.101746459,-0.321750554,-0.841567136,4.280396311,3.907315057,-10.371315,272.7491215,399.839968,0,-105.4893087,256.651019,36.69724767,-731.1827965,-277.1215746,559.2354627,0,-1776,305.0076869,610.3937084,1867.070433,0,-126.4862365,5899.631851,14671.93584,-9981.939619,-4169.117136,84372.63796,114947.7104,-219153.0961,0.234,254,267
3,1191.520307,1.326,7,0.756113446,10,15.71736286,0.021000566,0.079060611,0.206798741,-0.033853059,-25.78247229,86.00863292,34.15025083,-267.7945045,646.8255484,900.9245251,1,344.7939569,998.3912521,2909.433963,-320.5128204,-191.2240704,616.1524442,230.7692307,-1909.433963,565.6525964,1084.138858,3480.049432,0,-1311.697301,11599.96485,9963.208071,-30412.03504,6302.733726,171982.902,322741.4377,-353392.7802,0.593,271,283
3,2119.880254,10.421,4,0.064377901,22,-27.15093364,-0.005363571,0.066191074,0.082339852,-0.268609454,2.719638087,15.30828466,49.38806532,-29.6132895,708.929148,136.4734406,2,167.1184689,1027.200537,2800,-1912,-101.1206524,1621.898278,3614.678892,-4800,1178.39447,1485.469695,4837.354649,0,26615.61492,86576.70547,315621.7825,-18740.35375,2410104.334,8284836.149,30806129.08,-2949731.499,0.265,284,307
1,231.4197499,1.544,0,0.990458648,5,1.345207076,0.007521293,0.008611231,0.020874194,0.000920647,1.279287491,1.33311065,3.580704905,1.14087151,302.6983451,229.2116925,1,409.9284231,746.0806109,1788.990826,1.623376623,99.59008394,126.128231,330.2752294,82.56880734,425.9995577,753.1735651,1819.222334,1.623376623,-213.0064179,13965.27389,16675.21979,-17528.56314,-52724.34566,217487.4866,152971.5791,-363870.0312,1.341,308,313
3,1019.546283,4.29,6,0.132502627,21,2.324289761,0.240440897,1.303282472,5.608444365,-0.588839419,-1.07805394,17.59195881,42.26607376,-55.32039523,245.1282276,135.0925609,1,1.004170699,259.4174731,642.2018349,-614.6788991,-58.0976405,878.7117224,1072.727273,-3532.110092,446.7841784,789.6632085,3585.196208,0,1675.03969,8822.610034,32769.0571,-15135.10617,16294.33383,108224.3706,300432.8503,-204718.6465,0.281,314,336
3,559.0721916,4.446,1,0.294002261,11,6.312871632,-0.494153654,1.19712159,0.094679888,-3.645419632,1.722727816,16.6022065,38.55215796,-33.44421681,465.6732,164.3684885,0,14.94984846,602.1874998,1425.531915,-1183.486239,116.1049978,734.4350113,2146.788991,-914.893617,468.8250597,809.1433056,2451.396061,0,1178.611818,11592.41131,20714.04325,-22405.70412,15970.15084,176443.0327,231016.2523,-395594.0126,0.312,342,354
3,648.3525597,1.95,7,0.469777864,11,6.668524479,-0.012460909,0.088262785,0.153634064,-0.321558016,-21.24982618,78.42372358,29.515904,-255.359005,333.851333,304.5816803,1,311.6246261,1523.748015,4870.967742,-697.2477064,-32.39194643,160.9935883,128.440367,-494.6236559,588.9058137,1431.55365,4896.016677,0,-2201.074342,25448.39736,52488.24767,-40897.9049,-429441.5735,1480173.884,564721.6753,-4563974.731,0.733,355,367
3,1717.148335,2.668,4,0.306085904,24,-39.2004638,-0.003072326,0.119287935,0.25830644,-0.45795007,-0.427416101,12.74316797,41.5646436,-27.96139517,561.9708247,525.594901,1,-291.3606088,1124.448466,2849.462366,-3300,-107.9699155,710.9705904,2548.387097,-1700,789.122686,1094.506214,3822.788585,0,13619.58998,71894.87717,337709.5973,-28585.43086,1332306.168,7078026.026,33653731.61,-3360504.846,0.109,453,478
1,2845.987277,12.371,2,0.47655411,18,10.0840296,0.195230579,1.051008546,3.463343208,-1.404962946,5.829063016,37.91503955,128.0695893,-52.13604526,923.229762,1356.266935,0,1063.358327,7465.403509,30300,-5990.825688,5641.23616,23901.30487,101500,-2899.082569,6818.52085,24736.08647,105926.1063,0.139043382,569416.7986,2589201.473,10592610.63,-943664.232,56413146.39,259322538.7,1059261063,-105837384.1,0.01,496,514
3,2751.347668,12.012,2,0.379866036,40,1.421367268,-0.019817232,0.832122407,3.119867206,-3.463343208,6.520983814,41.39517866,235.619449,-44.5045104,506.6385471,1045.143531,1,-204.4211183,786.7013563,3073.394495,-2300,289.8529401,1390.460201,7618.181818,-1761.46789,792.1864571,1422.951447,7620.139692,0,14255.42667,54063.93057,272000.812,-39850.13581,1395531.888,5228643.332,27093790.05,-2377058.214,0.306,538,579
3,350.5131522,5.445,6,0.143472972,12,-0.793701541,0.649431595,1.31351065,3.227319529,-0.077014626,-11.05408159,24.9813018,12.96112261,-66.84239688,479.805154,50.28916384,0,-27.51236234,479.6707578,600,-1436.363636,-49.92895325,86.27970886,0,-300,226.9095212,424.8759348,1439.840441,0,4124.741588,11669.4824,36820.71363,-5135.807864,294948.2343,1033370.369,3404444.522,-335652.172,0.119,580,593
3,164.6393496,1.186,0,0.437403863,7,10.92092104,0.093326642,0.083676286,0.394982954,-0.008752394,-41.39829387,119.4159049,23.1559628,-314.1592654,331.6999097,72.01388755,2,13.7903951,207.3128582,418.8679245,-288,16.80862534,38.83271013,105.6603774,0,110.1390315,170.1256361,431.9889507,0,-94.71390547,1004.044759,1582.414491,-1151.911606,-1957.155273,10014.58318,5780.445465,-21874.60877,0.515,594,602
3,116.7938546,0.905,0,0.805565226,8,-0.249445512,0.034106549,0.090316727,0.207349514,-0.035006127,-5.806115198,17.10329537,5.55790621,-46.3647609,39.58120118,94.08506789,0,91.00367244,99.49517151,311.9266055,0,-5.306375309,84.23754784,174.4186047,-100.9174312,109.582858,110.6342653,327.8452915,0,146.915005,956.0234769,1257.509143,-1372.335999,474.5678487,10686.91172,20505.92321,-11801.79612,0.281,603,612
3,1936.467277,2.371,7,0.841761795,15,4.308884452,0.420954959,1.22523777,4.179545093,-0.583393887,-10.25517763,42.47149317,20.31465537,-157.0796327,1853.190271,1630.044171,3,918.3649959,1743.701625,4381.818182,-357.7981651,-57.18008116,929.8645516,2183.486239,-2236.363636,1082.166095,1879.994188,4919.517547,0,2004.189958,18213.17965,42816.13159,-34578.18656,25835.51125,224572.5188,452676.3275,-279324.3264,0.343,613,629
3,1401.164006,5.491,1,0.380215192,19,5.097792133,-0.004704518,0.181314492,0.525622144,-0.485474621,-1.434855123,10.63682029,11.81371615,-27.02376131,891.2200641,532.7438409,0,118.5574331,333.7846806,770.6422018,-516.0142349,90.22368423,534.4354786,1444.444444,-1275.229358,463.0659742,428.2992542,1483.373901,0,-361.7998959,5734.452308,10584.25281,-15238.11437,-86994.13334,397116.0293,114790.0601,-1659737.904,0.39,630,650
3,170.2007459,11.56,7,0.946233701,8,-1.775299127,-0.090178185,0.224342514,0.011993964,-0.555360367,0.269591057,2.577061638,5.66446883,-3.86895647,401.8325233,161.0496818,3,152.8083866,188.5788233,467.8899083,0,-61.81716522,145.3405375,0,-422.0183486,174.5142658,229.0507537,616.5929394,0,535.6441345,2362.49592,5592.902479,-1324.003004,-2245.066081,35576.56899,55804.0228,-63457.84847,0.125,651,660
1,3612.16751,6.568,7,0.35346534,34,-15.20806512,0.039669536,0.195746827,0.739073645,-0.360226039,-6.379908605,37.38181688,39.91489478,-205.491889,955.7995943,1276.776018,2,179.2293701,1552.436814,4321.100917,-6100,-393.9099546,2590.30676,8275.229358,-11600,1289.35893,2748.670117,13106.10545,6.145741879,40275.19684,228969.5132,1310610.545,-53356.31627,3910231.952,22822273.68,131061054.5,-2763557.693,0.01,661,695
3,2299.907783,2.028,3,0.533417433,11,4.815634208,0.143359051,0.359000069,1.093681519,-0.060363798,-18.18991502,65.05087023,32.70521508,-209.4395102,753.343482,1226.810906,2,-579.6108071,890.7071122,238.5321101,-2340.425532,-361.5473125,2645.956671,2025.641026,-7946.808511,1411.176173,2442.282172,8284.283745,0,6034.491257,30151.69667,88114.02979,-16848.68421,83529.62669,336084.7483,946203.1436,-336418.9551,0.25,696,708
3,515.2482518,0.936,6,0.965052066,6,-3.76552218,-0.078121295,0.0812302,0.008202594,-0.321558016,4.574892298,9.295874457,23.25569418,-3.149210603,37.06851515,497.2413901,1,464.5648468,924.8446728,2376.146789,0,-512.6484444,1115.808814,0,-2834.862385,706.7472876,1439.152199,3698.988822,0,3392.007548,17747.62144,32587.42094,-16326.34216,11016.56651,189112.6544,292768.1164,-240954.498,0.733,709,716
3,4470.069012,6.365,7,0.276107412,29,-5.421984738,0.009319222,0.177249274,0.51272085,-0.664738664,-0.863159259,64.66830761,147.1410381,-277.8529639,884.94249,1234.219186,5,816.240751,2209.46899,8933.333333,-1860.215054,1754.673418,13042.81911,69200,-5010.752688,3695.348032,12821.01882,69774.23912,0,166953.627,896287.0842,4651615.941,-694359.5999,11586689.77,60619589.37,310112435.4,-56872080.22,0,717,747
3,2595.048867,2.762,4,0.564910884,20,-3.653743966,0.097937301,0.242357048,0.781901888,-0.021558677,-0.573597832,20.74679996,60.44860103,-34.77083178,1537.727186,1465.97135,3,-679.8524436,1326.306051,1172.043011,-3627.659574,-52.83737646,1103.389576,2371.428571,-2550.458716,1167.75689,1408.295053,4225.266217,0,1058.410132,12789.0506,35187.78251,-24905.89903,16292.86183,182754.0572,406338.518,-303356.596,0.11,748,769
1,598.0114341,0.655,1,0.904385201,5,-1.507277865,-0.764984706,1.517579867,0.05436086,-3.136254626,-0.891527275,14.6252308,14.36200275,-25.09003701,884.5249329,540.8326913,0,29.29377635,27.13893534,70.94594595,27.52293578,1007.084552,2264.151792,5155.963303,-72,1066.456413,2223.452736,5156.036762,8,1686.765327,36147.37055,47303.08956,-41184.2941,15143.67725,516461.6256,433973.2987,-707899.0692,0.109,771,775
1,5056.372,19.126,7,0.159683411,27,-9.866442406,0.015500446,0.355208955,1.48013644,-0.925600612,-2.899138359,16.67798276,23.70690023,-57.45806395,997.9456427,807.4187266,4,-198.5323283,1224.160917,2779.816514,-4559.633028,-88.88492496,545.9643585,871.559633,-2648.93617,703.2946855,1146.704382,4560.08526,1.942601047,1459.013211,12285.84954,41262.27506,-20744.38142,7055.481199,151086.5917,379131.3347,-512174.0212,0.359,814,841
1,565.7181687,9.969,4,0.959640043,10,-6.287312134,0.744053512,1.739029347,5.296024799,-0.093515472,7.802082142,54.94701486,157.0796327,-43.50898652,485.6269889,542.8858075,0,-332.568172,768.5367424,0,-2418.181818,-245.9558039,615.8920395,300,-1781.818182,465.9158923,955.9141095,3003.74422,0.19193858,7123.605579,12275.89668,30000,-1634.686711,337435.6244,997600.2077,3000000,-197735.8198,0.119,842,852
